time,seconds_elapsed,z,y,x
1773230417066188300,0.684188232421875,-209.39999389648438,-113.15999603271484,-8.09999942779541
1773230417082178600,0.700178466796875,-208.739990234375,-113.0999984741211,-9.59999942779541
1773230417098184200,0.71618408203125,-209.09999084472656,-112.25999450683594,-10.019999504089355
1773230417114193700,0.732193603515625,-208.5,-112.86000061035156,-10.619999885559082
1773230417130185500,0.748185546875,-208.25999450683594,-112.97999572753906,-11.15999984741211
1773230417146174500,0.764174560546875,-208.25999450683594,-112.37999725341797,-10.979999542236328
1773230417162196200,0.7801962890625,-207.05999755859375,-112.25999450683594,-10.679999351501465
1773230417178189600,0.796189453125,-207.47999572753906,-112.79999542236328,-10.619999885559082
1773230417194178800,0.8121787109375,-207.72000122070312,-113.15999603271484,-10.979999542236328
1773230417210171400,0.82817138671875,-207.83999633789062,-113.22000122070312,-10.800000190734863
1773230417226192400,0.8441923828125,-208.1999969482422,-112.91999816894531,-10.800000190734863
1773230417242183400,0.860183349609375,-208.5,-111.72000122070312,-10.859999656677246
1773230417282194200,0.900194091796875,-207.59999084472656,-112.73999786376953,-10.920000076293945
1773230417298183200,0.91618310546875,-207.6599884033203,-113.22000122070312,-10.979999542236328
1773230417314175500,0.932175537109375,-208.0800018310547,-113.0999984741211,-10.260000228881836
1773230417330197000,0.948197021484375,-208.5,-112.55999755859375,-10.199999809265137
1773230417346187800,0.964187744140625,-207.239990234375,-111.5999984741211,-10.4399995803833
1773230417362178800,0.9801787109375,-207,-111.89999389648438,-10.380000114440918
1773230417378170000,0.996170166015625,-208.0800018310547,-112.07999420166016,-11.579999923706055
1773230417393810000,1.011809814453125,-207.29998779296875,-112.37999725341797,-11.399999618530273
1773230417410184200,1.02818408203125,-206.94000244140625,-112.68000030517578,-10.380000114440918
1773230417426175200,1.04417529296875,-207.5399932861328,-112.5,-10.380000114440918
1773230417442197800,1.06019775390625,-207.17999267578125,-112.43999481201172,-10.5
1773230417458188300,1.076188232421875,-206.63999938964844,-112.6199951171875,-10.920000076293945
1773230417474179600,1.0921796875,-207.1199951171875,-112.79999542236328,-11.279999732971191
1773230417490170600,1.108170654296875,-208.1999969482422,-112.25999450683594,-10.619999885559082
1773230417506192100,1.124192138671875,-208.13999938964844,-112.25999450683594,-10.319999694824219
1773230417522184000,1.140183837890625,-207.36000061035156,-112.97999572753906,-10.679999351501465
1773230417538174700,1.1561748046875,-207.5399932861328,-112.55999755859375,-10.739999771118164
1773230417554196200,1.1721962890625,-207.4199981689453,-112.13999938964844,-11.039999961853027
1773230417570187500,1.1881875,-207.1199951171875,-112.31999969482422,-10.079999923706055
1773230417586177000,1.204177001953125,-207.5399932861328,-112.07999420166016,-10.319999694824219
1773230417602201300,1.220201416015625,-207.47999572753906,-112.6199951171875,-10.800000190734863
