time,seconds_elapsed,dBFS
1773230416383000000,0.001,-160
1773230416383000000,0.001,-160
1773230416401000000,0.019,-160
1773230416510000000,0.128000244140625,-160
1773230416623000000,0.241,-160
1773230416733000000,0.351,-160
1773230416844000000,0.462,-160
1773230416956000000,0.574,-48
1773230417065000000,0.683,-35
1773230417177000000,0.795,-22
1773230417289000000,0.907,-23
1773230418687000000,2.305,-19
1773230418687000000,2.305,-160
1773230418688000000,2.306,-160
1773230418688000000,2.306,-160
1773230418688000000,2.306,-160
1773230418688000000,2.306,-160
1773230418688000000,2.306,-160
1773230418689000000,2.307,-160
1773230418689000000,2.307,-160
1773230418689000000,2.307,-160
1773230418689000000,2.307,-160
1773230418689000000,2.307,-160
1773230418733000000,2.351,-20
1773230418844000000,2.462,-18
1773230418953000000,2.571,-17
1773230419065000000,2.683,-27
1773230419176000000,2.794,-20
1773230419288000000,2.906,-21
1773230419399000000,3.017,-16
1773230419510000000,3.128000244140625,-25
1773230419622000000,3.240000244140625,-24
1773230419732000000,3.35,-23
1773230419844000000,3.462,-23
1773230419956000000,3.574,-23
1773230420068000000,3.686,-24
1773230420177000000,3.795,-28
1773230420288000000,3.906,-25
1773230420399000000,4.017,-23
1773230420510000000,4.128000244140625,-21
1773230420622000000,4.240000244140625,-23
1773230420731000000,4.349,-20
1773230420843000000,4.461,-21
1773230420955000000,4.573,-17
1773230421070000000,4.688000244140625,-19
1773230421176000000,4.794,-19
1773230421288000000,4.906,-21
1773230421399000000,5.017,-21
1773230421509000000,5.127,-23
1773230421619000000,5.237,-24
1773230421731000000,5.349,-24
1773230421843000000,5.461,-17
1773230421954000000,5.571999755859375,-15
1773230422065000000,5.683,-12
1773230422177000000,5.795,-17
1773230422289000000,5.907,-18
1773230422397000000,6.015,-17
1773230422509000000,6.127,-30
1773230422620000000,6.238,-21
1773230422732000000,6.35,-18
1773230422842000000,6.459999755859375,-18
1773230422953000000,6.571,-21
1773230423064000000,6.682,-15
1773230423176000000,6.794,-22
1773230423287000000,6.905,-22
1773230423398000000,7.016000244140625,-26
1773230423511000000,7.129,-24
1773230423621000000,7.239,-21
1773230423731000000,7.349,-25
1773230423843000000,7.461,-28
1773230423952000000,7.57,-32
1773230424064000000,7.682,-28
1773230424174000000,7.792000244140625,-31
1773230424286000000,7.904000244140625,-33
1773230424397000000,8.015,-32
1773230424508000000,8.126,-29
1773230424618000000,8.235999755859375,-30
1773230424730000000,8.347999755859375,-31
1773230424840000000,8.458,-31
1773230424952000000,8.57,-30
1773230425065000000,8.683,-33
1773230425176000000,8.794,-28
1773230425289000000,8.907,-19
1773230425396000000,9.014,-24
1773230425508000000,9.126,-14
1773230425619000000,9.237,-21
1773230425731000000,9.349,-1
1773230425841000000,9.459,-24
1773230425952000000,9.57,-25
1773230426063000000,9.681,-16
1773230426174000000,9.792000244140626,-20
1773230426285000000,9.903,-20
1773230426395000000,10.013,-21
1773230426509000000,10.127,-21
1773230426618000000,10.235999755859375,-18
1773230426729000000,10.347,-24
1773230426841000000,10.459,-19
1773230426952000000,10.57,-17
1773230427062000000,10.680000244140626,-15
1773230427175000000,10.793,-21
1773230427286000000,10.904000244140626,-18
1773230427395000000,11.013,-24
1773230427507000000,11.125,-21
1773230427620000000,11.238,-19
1773230427730000000,11.347999755859375,-22
1773230427840000000,11.458,-18
1773230427953000000,11.571,-24
1773230428063000000,11.681,-14
1773230428173000000,11.791,-23
1773230428287000000,11.905,-22
1773230428394000000,12.011999755859375,-22
1773230428507000000,12.125,-19
1773230428618000000,12.235999755859375,-21
1773230428730000000,12.347999755859375,-20
1773230428840000000,12.458,-22
1773230428951000000,12.569,-19
1773230429062000000,12.680000244140626,-19
1773230429172000000,12.79,-18
1773230429284000000,12.902,-18
1773230429395000000,13.013,-17
1773230429508000000,13.126,-18
1773230429616000000,13.234,-20
1773230429728000000,13.346,-16
1773230429839000000,13.457,-18
1773230429949000000,13.567,-22
1773230430061000000,13.679,-22
1773230430171000000,13.789,-16
1773230430283000000,13.901,-20
1773230430394000000,14.011999755859375,-17
1773230430506000000,14.123999755859375,-15
1773230430617000000,14.235,-14
1773230430728000000,14.346,-17
1773230430839000000,14.457,-14
1773230430950000000,14.568000244140626,-16
1773230431060000000,14.678,-18
1773230431172000000,14.79,-21
1773230431283000000,14.901,-24
1773230431398000000,15.016000244140624,-23
1773230431505000000,15.123,-22
1773230431617000000,15.235,-28
1773230431728000000,15.346,-21
1773230431838000000,15.456000244140625,-24
1773230431948000000,15.566,-21
1773230432061000000,15.679,-20
1773230432172000000,15.79,-20
1773230432282000000,15.899999755859374,-16
1773230432394000000,16.011999755859375,-16
1773230432505000000,16.123,-17
1773230432616000000,16.234,-17
1773230432729000000,16.347,-23
1773230432838000000,16.456000244140625,-17
1773230432949000000,16.567,-20
1773230433061000000,16.679,-20
1773230433170000000,16.787999755859374,-24
1773230433282000000,16.899999755859376,-20
1773230433393000000,17.011,-19
