time,seconds_elapsed,dBFS
1773200108574000000,0.001000244140625,-160
1773200108575000000,0.002,-160
1773200108663000000,0.09,-160
1773200108772000000,0.199,-160
1773200108882000000,0.308999755859375,-160
1773200108994000000,0.420999755859375,-160
1773200109105000000,0.532,-53
1773200109215000000,0.642,-29
1773200109327000000,0.754,-18
1773200109437000000,0.864,-16
1773200109549000000,0.976,-18
1773200109660000000,1.087,-17
1773200110079000000,1.506,-13
1773200110080000000,1.507,-160
1773200110080000000,1.507,-160
1773200110103000000,1.53,-21
1773200110215000000,1.642,-19
1773200110326000000,1.753000244140625,-18
1773200110438000000,1.865000244140625,-18
1773200110548000000,1.975,-13
1773200110660000000,2.087,-15
1773200110770000000,2.196999755859375,-16
1773200110884000000,2.311,-15
1773200110994000000,2.420999755859375,-15
1773200111105000000,2.532,-12
1773200111215000000,2.642,-19
1773200111327000000,2.754,-19
1773200111439000000,2.866,-16
1773200111551000000,2.978,-18
1773200111659000000,3.086,-17
1773200111771000000,3.198,-18
1773200111884000000,3.311,-17
1773200111993000000,3.42,-17
1773200112103000000,3.53,-19
1773200112216000000,3.643,-17
1773200112325000000,3.752,-19
1773200112437000000,3.864,-17
1773200112548000000,3.975,-18
1773200112662000000,4.089000244140625,-18
1773200112770000000,4.196999755859375,-15
1773200112881000000,4.308,-12
1773200112993000000,4.42,-20
1773200113103000000,4.53,-15
1773200113214000000,4.641000244140625,-21
1773200113326000000,4.753000244140625,-21
1773200113437000000,4.864,-20
1773200113547000000,4.974,-17
1773200113659000000,5.086,-20
1773200113771000000,5.198,-20
1773200113881000000,5.308,-16
1773200113992000000,5.419,-21
1773200114103000000,5.53,-21
1773200114215000000,5.642,-21
1773200114326000000,5.753000244140625,-19
1773200114436000000,5.863,-19
1773200114547000000,5.974,-23
1773200114657000000,6.084,-24
1773200114770000000,6.196999755859375,-31
1773200114881000000,6.308,-27
1773200114992000000,6.419,-27
1773200115103000000,6.53,-27
1773200115214000000,6.641000244140625,-27
1773200115325000000,6.752,-27
1773200115436000000,6.863,-31
1773200115547000000,6.974,-27
1773200115659000000,7.086,-25
1773200115769000000,7.196,-28
1773200115880000000,7.307,-19
1773200115991000000,7.418,-22
1773200116104000000,7.531,-20
1773200116213000000,7.64,-20
1773200116326000000,7.753000244140625,-25
1773200116437000000,7.864,-24
1773200116550000000,7.977000244140625,-20
1773200116658000000,8.084999755859375,-20
1773200116769000000,8.196,-25
1773200116880000000,8.307,-20
1773200116991000000,8.418,-14
1773200117102000000,8.529000244140626,-19
1773200117213000000,8.64,-18
1773200117326000000,8.753000244140624,-21
1773200117436000000,8.863,-17
1773200117548000000,8.975,-19
1773200117658000000,9.084999755859375,-12
1773200117769000000,9.196,-14
1773200117878000000,9.305000244140626,-16
1773200117991000000,9.418,-17
1773200118101000000,9.528,-23
