time,seconds_elapsed,steps
1773199999908131000,-108.66486889648438,0
1773200120812940000,12.23993994140625,6
1773200121372936400,12.7999365234375,7
1773200122092939500,13.519939453125,8
1773200122732924700,14.159924560546875,9
1773200123532941300,14.95994140625,10
1773200124412946000,15.83994580078125,11
1773200124972944100,16.399944091796876,12
1773200125932900600,17.359900634765626,13
1773200126812905500,18.239905517578126,14
1773200127532906500,18.959906494140625,15
1773200137772877000,29.199876953125,21
1773200138252886300,29.67988623046875,22
1773200138972887000,30.399886962890626,23
1773200139532884200,30.95988427734375,24
1773200140172867600,31.59986767578125,25
1773200140972885000,32.399885009765626,26
1773200142172865800,33.59986572265625,28
