time,seconds_elapsed,z,y,x
1773231947708659700,0.29865966796875,-16.440000534057617,-16.31999969482422,1.2599999904632568
1773231947724728300,0.314728271484375,-25.139999389648438,-23.279998779296875,-7.199999809265137
1773231947740718000,0.330718017578125,-33.65999984741211,-30.959999084472656,-15.65999984741211
1773231947756740900,0.346740966796875,-33.119998931884766,-31.079999923706055,-15.420000076293945
1773231947772730400,0.36273046875,-32.39999771118164,-30.479999542236328,-15.299999237060547
1773231947788738600,0.378738525390625,-32.34000015258789,-31.260000228881836,-15.299999237060547
1773231947804714200,0.39471435546875,-32.63999938964844,-31.619998931884766,-15.299999237060547
1773231947820736500,0.410736572265625,-32.39999771118164,-31.739999771118164,-15.65999984741211
1773231947836728300,0.426728271484375,-32.099998474121094,-31.67999839782715,-15.779999732971191
1773231947852720000,0.44272021484375,-32.21999740600586,-31.19999885559082,-15.960000038146973
1773231947868739000,0.458739013671875,-32.34000015258789,-31.3799991607666,-16.079999923706055
1773231947884732700,0.474732666015625,-32.21999740600586,-31.139999389648438,-15.960000038146973
1773231947900723700,0.4907236328125,-31.559999465942383,-31.139999389648438,-16.260000228881836
1773231947916714800,0.50671484375,-31.079999923706055,-31.619998931884766,-16.559999465942383
1773231947932737000,0.522737060546875,-31.67999839782715,-31.559999465942383,-16.3799991607666
1773231947948728000,0.53872802734375,-32.040000915527344,-31.67999839782715,-15.539999961853027
1773231947964717300,0.55471728515625,-31.979999542236328,-31.439998626708984,-15.179999351501465
1773231947980740600,0.57074072265625,-31.85999870300293,-30.53999900817871,-15.299999237060547
1773231947996729600,0.5867294921875,-31.5,-31.260000228881836,-14.819999694824219
1773231948012724000,0.602723876953125,-31.439998626708984,-31.619998931884766,-15
1773231948028713700,0.618713623046875,-31.439998626708984,-31.19999885559082,-15.119999885559082
1773231948044734500,0.634734375,-31.799999237060547,-30.65999984741211,-14.819999694824219
1773231948060726500,0.6507265625,-32.099998474121094,-30.299999237060547,-14.579999923706055
1773231948076718600,0.666718505859375,-31.3799991607666,-30.35999870300293,-14.75999927520752
1773231948092740900,0.682740966796875,-31.19999885559082,-30.959999084472656,-15.179999351501465
1773231948108731600,0.698731689453125,-31.85999870300293,-31.619998931884766,-14.639999389648438
1773231948124720600,0.714720703125,-32.040000915527344,-30.899999618530273,-14.34000015258789
1773231948140713200,0.730713134765625,-31.5,-30.35999870300293,-14.819999694824219
1773231948156734700,0.746734619140625,-31.079999923706055,-30.719999313354492,-15.179999351501465
1773231948172727600,0.7627275390625,-30.65999984741211,-31.260000228881836,-15.359999656677246
1773231948188718000,0.778718017578125,-30.299999237060547,-31.079999923706055,-15
1773231948204738000,0.794738037109375,-29.8799991607666,-31.85999870300293,-14.699999809265137
1773231948220729000,0.81072900390625,-29.81999969482422,-32.52000045776367,-14.819999694824219
1773231948236721400,0.826721435546875,-29.939998626708984,-32.34000015258789,-14.880000114440918
1773231948252714200,0.84271435546875,-29.69999885559082,-31.739999771118164,-14.09999942779541
1773231948268734700,0.858734619140625,-29.8799991607666,-31.31999969482422,-13.619999885559082
1773231948284724200,0.87472412109375,-28.85999870300293,-32.15999984741211,-14.15999984741211
