time,seconds_elapsed,z,y,x
1773231947712703000,0.302702880859375,-214.01998901367188,-146.45999145507812,3.7799999713897705
1773231947728726300,0.318726318359375,-222.72000122070312,-153.4199981689453,-4.679999828338623
1773231947744717600,0.334717529296875,-231.239990234375,-161.09999084472656,-13.139999389648438
1773231947760738300,0.35073828125,-230.6999969482422,-161.22000122070312,-12.899999618530273
1773231947776729600,0.3667294921875,-229.97999572753906,-160.6199951171875,-12.779999732971191
1773231947792723500,0.382723388671875,-229.9199981689453,-161.39999389648438,-12.779999732971191
1773231947808744700,0.39874462890625,-230.22000122070312,-161.75999450683594,-12.779999732971191
1773231947824735200,0.4147353515625,-229.97999572753906,-161.87998962402344,-13.139999389648438
1773231947840727300,0.430727294921875,-229.67999267578125,-161.8199920654297,-13.25999927520752
1773231947856718800,0.44671875,-229.79998779296875,-161.33999633789062,-13.4399995803833
1773231947872739600,0.462739501953125,-229.9199981689453,-161.51998901367188,-13.559999465942383
1773231947888729900,0.478729736328125,-229.79998779296875,-161.27999877929688,-13.4399995803833
1773231947904720600,0.494720703125,-229.13999938964844,-161.27999877929688,-13.739999771118164
1773231947920743200,0.5107431640625,-228.6599884033203,-161.75999450683594,-14.039999961853027
1773231947936734700,0.526734619140625,-229.25999450683594,-161.6999969482422,-13.859999656677246
1773231947952726800,0.542726806640625,-229.6199951171875,-161.8199920654297,-13.019999504089355
1773231947968717600,0.558717529296875,-229.55999755859375,-161.5800018310547,-12.65999984741211
1773231947984737500,0.574737548828125,-229.44000244140625,-160.67999267578125,-12.779999732971191
1773231948000729300,0.590729248046875,-229.0800018310547,-161.39999389648438,-12.300000190734863
1773231948016722200,0.60672216796875,-229.01998901367188,-161.75999450683594,-12.479999542236328
1773231948032743200,0.6227431640625,-229.01998901367188,-161.33999633789062,-12.59999942779541
1773231948048735000,0.63873486328125,-229.37998962402344,-160.8000030517578,-12.300000190734863
1773231948064725500,0.6547255859375,-229.67999267578125,-160.44000244140625,-12.059999465942383
1773231948080715300,0.67071533203125,-228.95999145507812,-160.5,-12.239999771118164
1773231948096737500,0.686737548828125,-228.77999877929688,-161.09999084472656,-12.65999984741211
