time,seconds_elapsed,dBFS
1773231947522000000,0.111999755859375,-160
1773231947630000000,0.220000244140625,-160
1773231947741000000,0.331,-160
1773231947852000000,0.442,-160
1773231947964000000,0.554,-49
1773231948074000000,0.663999755859375,-38
1773231948185000000,0.775,-27
1773231948298000000,0.887999755859375,-23
1773231948407000000,0.997,-23
1773231948520000000,1.11,-22
1773231948920000000,1.51,-22
1773231948921000000,1.511,-160
1773231948922000000,1.511999755859375,-160
1773231948963000000,1.553,-24
1773231949075000000,1.665,-23
1773231949185000000,1.775,-25
1773231949295000000,1.885,-25
1773231949408000000,1.998,-27
1773231949520000000,2.11,-27
1773231949629000000,2.219,-28
1773231949741000000,2.331,-28
1773231949852000000,2.442,-24
1773231949964000000,2.554,-21
1773231950073000000,2.663,-17
1773231950185000000,2.775,-18
1773231950297000000,2.887,-25
1773231950407000000,2.997,-24
1773231950518000000,3.108000244140625,-27
1773231950629000000,3.219,-25
1773231950740000000,3.33,-30
1773231950851000000,3.441,-29
1773231950963000000,3.553,-30
1773231951073000000,3.663,-28
1773231951184000000,3.774,-21
1773231951295000000,3.885,-21
1773231951406000000,3.996000244140625,-27
1773231951520000000,4.11,-26
1773231951628000000,4.218,-26
1773231951740000000,4.33,-32
1773231951851000000,4.441,-32
1773231951962000000,4.551999755859375,-32
1773231952073000000,4.663,-27
1773231952185000000,4.775,-20
1773231952298000000,4.887999755859375,-27
1773231952407000000,4.997,-30
1773231952517000000,5.107,-29
1773231952628000000,5.218,-31
1773231952739000000,5.329,-30
1773231952851000000,5.441,-29
1773231952963000000,5.553,-31
1773231953073000000,5.663,-29
1773231953185000000,5.775,-30
1773231953295000000,5.885,-22
1773231953406000000,5.996000244140625,-20
1773231953517000000,6.107,-29
1773231953627000000,6.217,-30
1773231953738000000,6.327999755859375,-26
1773231953849000000,6.439,-22
1773231953960000000,6.55,-25
1773231954072000000,6.662,-26
1773231954183000000,6.773,-27
1773231954294000000,6.884000244140625,-26
1773231954406000000,6.996000244140625,-23
1773231954516000000,7.106,-28
1773231954628000000,7.218,-30
1773231954738000000,7.327999755859375,-30
1773231954849000000,7.439,-27
1773231954961000000,7.551,-26
1773231955072000000,7.662,-26
1773231955183000000,7.773,-27
1773231955295000000,7.885,-31
1773231955406000000,7.996000244140625,-31
1773231955516000000,8.106,-30
1773231955628000000,8.218,-16
